participant_id,frame,question,main,follow_up,choice,evaluation
307,loss,Disease,,True,1,50
307,loss,Unemployment,True,,0,100
307,loss,Painting,True,,2,50
307,loss,Painting,,True,0,54
307,loss,Virus,True,,0,50
310,loss,Disease,True,,0,70
310,loss,Unemployment,True,,0,90
310,loss,Painting,True,,2,60
310,loss,Painting,,True,0,70
310,loss,Virus,True,,0,80
311,gain,Disease,True,,0,41
311,gain,Unemployment,True,,1,41
311,gain,Painting,True,,0,60
311,gain,Virus,True,,0,40
312,gain,Disease,True,,0,30
312,gain,Unemployment,True,,1,90
312,gain,Painting,True,,0,50
312,gain,Virus,True,,2,30
312,gain,Virus,,True,0,75
314,loss,Disease,True,,1,60
314,loss,Unemployment,True,,0,69
314,loss,Painting,True,,0,50
314,loss,Virus,True,,2,50
314,loss,Virus,,True,1,70
316,loss,Disease,True,,2,50
316,loss,Disease,,True,1,70
316,loss,Unemployment,True,,0,60
316,loss,Painting,True,,0,60
316,loss,Virus,True,,1,71
317,gain,Disease,True,,0,60
317,gain,Unemployment,True,,1,90
317,gain,Painting,True,,0,61
317,gain,Virus,True,,1,61
318,gain,Disease,True,,0,70
318,gain,Unemployment,True,,1,71
318,gain,Painting,True,,0,80
318,gain,Virus,True,,0,69
321,gain,Disease,True,,0,72
321,gain,Unemployment,True,,1,77
321,gain,Painting,True,,0,80
321,gain,Virus,True,,2,25
321,gain,Virus,,True,0,40
324,loss,Disease,True,,1,80
324,loss,Unemployment,True,,0,100
324,loss,Painting,True,,0,40
324,loss,Virus,True,,1,75
327,gain,Disease,True,,0,59
327,gain,Unemployment,True,,1,71
327,gain,Painting,True,,0,67
327,gain,Virus,True,,1,71
329,gain,Disease,True,,0,100
329,gain,Unemployment,True,,1,100
329,gain,Painting,True,,0,80
329,gain,Virus,True,,0,88
332,gain,Disease,True,,0,80
332,gain,Unemployment,True,,1,80
332,gain,Painting,True,,0,80
332,gain,Virus,True,,0,80
334,loss,Disease,True,,1,70
334,loss,Unemployment,True,,0,40
334,loss,Painting,True,,2,50
334,loss,Painting,,True,1,20
334,loss,Virus,True,,0,9
338,loss,Disease,True,,1,79
338,loss,Unemployment,True,,0,90
338,loss,Painting,True,,2,50
338,loss,Painting,,True,1,74
338,loss,Virus,True,,1,75
340,loss,Disease,True,,2,61
340,loss,Disease,,True,1,50
340,loss,Unemployment,True,,0,62
340,loss,Painting,True,,0,50
340,loss,Virus,True,,1,39
341,loss,Disease,True,,1,65
341,loss,Unemployment,True,,0,80
341,loss,Painting,True,,0,65
341,loss,Virus,True,,1,60
344,gain,Disease,True,,0,60
344,gain,Unemployment,True,,1,40
344,gain,Painting,True,,0,55
344,gain,Virus,True,,0,43
345,loss,Disease,True,,2,80
345,loss,Disease,,True,1,70
345,loss,Unemployment,True,,0,95
345,loss,Painting,True,,2,92
345,loss,Painting,,True,1,81
345,loss,Virus,True,,1,60
346,gain,Disease,True,,0,79
346,gain,Unemployment,True,,1,62
346,gain,Painting,True,,0,80
346,gain,Virus,True,,0,66
355,loss,Disease,True,,1,21
355,loss,Unemployment,True,,0,69
355,loss,Painting,True,,2,80
355,loss,Painting,,True,1,60
355,loss,Virus,True,,1,40
360,gain,Disease,True,,2,42
360,gain,Disease,,True,0,77
360,gain,Unemployment,True,,1,70
360,gain,Painting,True,,0,70
360,gain,Virus,True,,0,80
363,gain,Disease,True,,0,30
363,gain,Unemployment,True,,1,20
363,gain,Painting,True,,0,90
363,gain,Virus,True,,0,95
370,loss,Disease,True,,1,65
370,loss,Unemployment,True,,0,91
370,loss,Painting,True,,0,82
370,loss,Virus,True,,1,81
374,gain,Disease,True,,0,64
374,gain,Unemployment,True,,1,85
374,gain,Painting,True,,0,75
